,author,content,description,publishedAt,source_id,source_name,title,url,urlToImage,polarity,length,article_similarity,source_similarity,cosine_similarity,subject_matter,cluster
0,https://www.facebook.com/bbcnews,Image copyright EPA Image caption Brett Kavanaugh insists judicial independence is key to the constitutional system US President Donald Trump's Supreme Court nominee has declined to say whether he thinks sitting presidents can be made to comply with a legal s… [+4413 chars],Trump's Supreme Court pick Brett Kavanaugh said he would not be drawn on a hypothetical question.,2018-09-05T22:25:27Z,bbc-news,BBC News,"Brett Kavanaugh, Supreme Court nominee, sidesteps subpoena question",https://www.bbc.co.uk/news/world-us-canada-45429016,https://ichef.bbci.co.uk/news/1024/branded_news/E2FF/production/_103311185_049074812.jpg,0.0300643557078607,15,0.6667687141027977,0.881449082337775,0.26588677651707127,5,2
1,https://www.facebook.com/bbcnews,"Image copyright Reuters Image caption Brett Kavanaugh denies the allegations A number of Republicans have said the vote on US President Donald Trump's Supreme Court nominee, Brett Kavanaugh, should be paused while allegations of sexual assault are properly he… [+3595 chars]",Senator Jeff Flake says the US Supreme Court vote should be paused until the alleged victim is heard.,2018-09-17T11:38:09Z,bbc-news,BBC News,Brett Kavanaugh: Republican senators call for vote delay,https://www.bbc.co.uk/news/world-us-canada-45546954,https://ichef.bbci.co.uk/news/1024/branded_news/DFEE/production/_103462375_63deb8cf-b686-4dc1-8c26-d5129c66f21b.jpg,0.2517248525874676,3,0.1314117426491075,0.471219005852927,0.48982243113266644,4,2
2,https://www.facebook.com/bbcnews,"Image copyright AFP/Getty Image caption Brett Kavanaugh, seen here during his US Senate Judiciary Committee confirmation hearing last week US President Donald Trump's Supreme Court nominee Brett Kavanaugh has denied an allegation of sexual misconduct during h… [+2444 chars]",The allegation against the US Supreme Court nominee dates back to when he was a high-school student.,2018-09-14T18:38:27Z,bbc-news,BBC News,Brett Kavanaugh denies sexual misconduct in high school,https://www.bbc.co.uk/news/world-us-canada-45527465,https://ichef.bbci.co.uk/news/1024/branded_news/16FFC/production/_103440249_mediaitem103440248.jpg,0.6759121377517004,11,0.2953721356304909,0.9385741963827676,0.13990454686193265,4,2
3,https://www.facebook.com/bbcnews,"Image copyright Reuters Image caption Prof Ford says Brett Kavanaugh pinned her to a bed and tried to take off her clothes The woman who accuses US Supreme Court nominee Brett Kavanaugh of attempting to rape her will not testify to the Senate next week, says … [+1002 chars]","Christine Blasey Ford's attorney says her client has been ""deflecting death threats and harassment"".",2018-09-19T00:21:38Z,bbc-news,BBC News,Christine Blasey Ford: Kavanaugh accuser 'faces death threats',https://www.bbc.co.uk/news/world-us-canada-45568450,https://ichef.bbci.co.uk/news/1024/branded_news/13373/production/_103470787_hi049360823-1.jpg,0.6958705689143398,4,0.4170349447907493,0.5530216317733477,0.23412997522322854,2,3
4,Sabrina Siddiqui in Washington,"Brett Kavanaugh, Donald Trump’s conservative nominee for the US supreme court, faced sharp questions on Capitol Hill on some of the hottest issues raging in American society – abortion, gun rights and presidential power – during the second day of his dramatic… [+4556 chars]","Trump’s supreme court nominee was grilled on abortion, gun rights and presidential power on the second day of his hearing Brett Kavanaugh, Donald Trump’s conservative nominee for the US supreme court, faced sharp questions on Capitol Hill on some of the hotte…",2018-09-05T18:14:46Z,the-guardian-au,The Guardian (AU),Brett Kavanaugh sidesteps Senate questions on Roe v Wade,https://www.theguardian.com/us-news/2018/sep/05/brett-kavanaugh-senate-abortion-supreme-court-roe-v-wade,https://i.guim.co.uk/img/media/e57aaa3036c25946379df85fdb33142ca2501b1b/0_66_6000_3600/master/6000.jpg?width=1200&height=630&quality=85&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly9hc3NldHMuZ3VpbS5jby51ay9pbWFnZXMvb3ZlcmxheXMvZDM1ODZhNWVmNTc4MTc1NmQyMWEzYjYzNWU1MTcxNDEvdGctZGVmYXVsdC5wbmc&s=97a89eee719b5a7fc70af6fe6518c139,0.6200654769097064,8,0.5464842102899077,0.43171793011871806,0.5510339385629407,4,3
5,https://www.facebook.com/bbcnews,"The Senate has scheduled a public hearing on a sex assault claim against Supreme Court nominee Brett Kavanaugh next Monday. Mr Kavanaugh and Christine Blasey Ford, the woman who says he attacked her 36 years ago, will both be able to testify, a senator said. … [+303 chars]",The Supreme Court nominee and his accuser are reportedly both invited to appear before senators.,2018-09-17T22:30:43Z,bbc-news,BBC News,Kavanaugh and accuser to testify in Senate,https://www.bbc.co.uk/news/world-us-canada-45555359,https://ichef.bbci.co.uk/news/1024/branded_news/7A23/production/_97176213_breaking_news_bigger.png,0.10251576592458989,15,0.7898021324579609,0.8625749452757205,0.06811432524589811,3,3
6,Lauren Gambino in Washington,,"Donald Trump’s pick, who could shift the top decisively to the right, begins his confirmation hearing before the Senate judiciary committee 3.03pm BST Democrats are arguing that they received “a 40,000 page document dump” on Monday night and have not had a ch…",2018-09-04T14:03:45Z,the-guardian-au,The Guardian (AU),Brett Kavanaugh: protesters disrupt supreme court nominee's Senate hearing – live,https://www.theguardian.com/law/live/2018/sep/04/brett-kavanaugh-supreme-court-senate-confirmation-hearing,https://i.guim.co.uk/img/media/23b642bbb668dec4a08428c608240bf722be1ca4/0_141_4230_2538/master/4230.jpg?width=1200&height=630&quality=85&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly9hc3NldHMuZ3VpbS5jby51ay9pbWFnZXMvb3ZlcmxheXMvZmQ2MTg4YTJlMWFhNThmNWM5Y2VkODlkNjQxOWU1OTgvdGctbGl2ZS5wbmc&s=2b656646f9b1f437333cf9457d3ba089,0.61612309850042,14,0.4327945604597847,0.36091971580356474,0.9332165354186571,7,1
7,"acollman@businessinsider.com (Ashley Collman), Ashley Collman","Sen. Susan Collins says Brett Kavanaugh told her that he considers Roe v. Wade ""settled law."" Reuters President Donald Trump's Supreme Court pick Brett Kavanaugh believes the landmark Roe v. Wade ruling that legalized abortion is settled law, according to Sen… [+3050 chars]","Reuters Sen. Susan Collins of Maine met with Supreme Court nominee Brett Kavanaugh for two hours on Tuesday. She says Kavanaugh told her he considers Roe v. Wade, the landmark ruling that legalized a woman's right to abortion, ""settled law."" Collins, who brea…",2018-08-21T18:37:00Z,business-insider,Business Insider,Sen. Susan Collins says Supreme Court nominee Brett Kavanaugh told her he considers Roe v. Wade 'settled law',https://www.businessinsider.com/r-senator-collins-trumps-court-pick-says-roe-vs-wade-settled-law-2018-8,https://amp.businessinsider.com/images/5b7c57dd2154a321008b5313-1136-568.jpg,0.21179473765546897,1,0.7263237014288382,0.3797192430248536,0.9882320377525785,8,3
8,Bryan Logan,"Democratic senators kept the heat on Judge Brett Kavanaugh on the third day of his Senate confirmation hearings, asking pointed questions about his leanings on women's rights, racial profiling, and the potential role he could play if a case related to the Rus… [+1965 chars]",Judge Brett Kavanaugh on the third day of his Senate confirmation hearings dodged questions about whether he would recuse himself from cases related to the special counsel Robert Mueller or the Russia investigation if they reach the Supreme Court. Sen. Cory B…,2018-09-07T04:19:34Z,business-insider,Business Insider,Brett Kavanaugh ducked questions about whether he would recuse himself from Supreme Court cases related to the Russia investigation,https://www.businessinsider.com/brett-kavanaugh-on-recusal-mueller-russia-probe-2018-9,https://amp.businessinsider.com/images/5b91fbe50ce5f591208b4e45-2732-1366.jpg,0.7192328422660106,13,0.10166181124661833,0.22862896452123227,0.8595268224418785,9,1
9,Associated Press,"WASHINGTON (AP) — Senate Democrats worked into the night in a last, ferocious attempt to paint Supreme Court nominee Brett Kavanaugh as a foe of abortion rights and a likely defender of President Donald Trump. But after two marathon days in the witness chair … [+5787 chars]","Andrew Harnik/AP After two marathon days in the witness chair in a Senate hearing room, Kavanaugh appeared to be on a path to confirmation as a Supreme Court justice. Friday will be the last day of the hearings before the Senate Judiciary Committee. Senate De…",2018-09-07T09:45:05Z,business-insider,Business Insider,"Kavanaugh looks polished, set for confirmation despite protests, outcry",https://www.businessinsider.com/kavanaugh-looks-polished-set-for-confirmation-despite-protests-outcry-2018-9,https://amp.businessinsider.com/images/5b9248441982d88d308b4e5d-1334-667.jpg,0.2381346143738301,19,0.7214184899557105,0.5412733028442601,0.13938005405033582,6,2
